x,y,z,val
20.198,-24.436,-2.75,1
16.75,-27.055,-15.277,1
17.801,-23.854,-22.465,1
30.446,-21.089,-19.74,1
39.697,-22.676,-19.22,1
45.537,-25.291,-28.218,1
46.2,-26.797,-29.037,1
44.048,-25.583,-21.449,1
45.453,-18.568,-15.742,1
47.749,-9.675,-13.996,1
47.39,-7.029,-16.891,1
36.024,-9.539,-15.816,1
30.869,-5.717,-9.732,1
28.817,-4.187,-7.148,1
26.404,-3.397,-2.621,1
23.095,-4.424,1.566,1
20.615,-3.242,3.845,1
22.868,-3.407,7.379,1
21.113,-5.794,10.736,1
19.188,-8.337,15.558,1
19.513,-10.472,21.264,1
15.46,-16.087,25.48,1
9.639,-18.919,24.137,1
13.113,-16.068,26.529,1
16.099,-16.925,33.836,1
13.446,-17.816,47.495,1
10.616,-16.492,54.089,1
14.093,-15.412,48.496,1
13.132,-13.721,37.511,1
7.946,-10.698,32.117,1
2.325,-10.772,29.993,1
-4.45,-12.448,33.738,1
-9.938,-15.967,38.917,1
-10.565,-20.337,44.289,1
-4.714,-26.402,43.578,1
-1.795,-32.826,34.772,1
2.55,-31.504,24.551,1
5.528,-29.32,18.082,1
9.048,-25.657,12.747,1
10.389,-23.27,5.581,1
12.955,-21.896,0.256,1
21.036,-17.263,-4.706,1
32.61,-11.476,-7.261,1
43.315,-7.013,-12.097,1
46.423,-6.443,-12.054,1
48.127,-5.394,-6.756,1
52.605,1.594,-6.636,1
47.763,3.471,-7.881,1
36.716,0.658,3.362,1
36.063,4.055,16.829,1
45.491,9.528,15.984,1
46.363,9.145,17.167,1
37.346,2.087,24.398,1
32.821,-3.285,34.937,1
34.676,-7.063,43.547,1
33.695,-16.109,38.811,1
26.545,-23.301,31.31,1
21.275,-27.125,28.693,1
10.738,-30.623,27.3,1
-1.062,-33.568,23.904,1
-0.1,-32.701,24.441,1
-4.972,-32.962,18.187,1
-20.537,-31.628,13.971,1
-31.451,-26.519,22.77,1
-35.669,-26.962,29.964,1
-34.285,-29.462,33.008,1
-21.215,-30.115,26.912,1
-6.236,-27.625,24.623,1
1.499,-25.128,25.736,1
4.178,-20.392,17.629,1
8.907,-14.919,19.465,1
11.976,-17.428,27.007,1
13.944,-25.609,32.081,1
13.08,-33.822,25.592,1
17.26,-36.63,19.054,1
25.825,-38.718,14.078,1
30.687,-40.947,7.535,1
32.962,-41.862,0.594,1
37.528,-36.807,-6.512,1
41.747,-29.114,-10.723,1
40.198,-25.609,-11.549,1
35.706,-25.185,-5.676,1
37.355,-23.042,0.697,1
41.593,-18.34,1.226,1
52.923,-12.678,-3.837,1
52.284,-20.507,0.862,1
43.554,-23.485,12.35,1
32.871,-17.555,18.874,1
24.876,-6.153,5.962,1
21.096,0.442,1.187,1
19.844,-1.719,6.651,1
13.832,-4.48,15.048,1
12.656,-1.642,14.864,1
18.982,0.957,19.734,1
22.283,-0.11,18.532,1
24.316,0.765,14.263,1
21.376,-2.981,16.056,1
14.026,-4.171,48.875,1
17.615,-13.472,47.117,1
8.418,-22.147,40.779,1
-13.912,-29.292,38.761,1
-29.111,-30.582,32.44,1
-26.573,-30.484,27.022,1
-15.699,-36.075,16.341,1
-0.14,-29.306,3.304,1
1.63,-25.293,-1.333,1
8.746,-23.593,-2.056,1
20.473,-19.963,2.583,1
23.964,-15.041,4.614,1
23.105,-10.966,-3.1,1
23.105,-7.98,-4.17,1
25.487,-7.006,-1.967,1
29.474,-6.871,-3.933,1
32.55,-5.737,-16.172,1
31.631,-5.195,-26.319,1
34.437,-0.948,-25.223,1
38.328,3.916,-19.943,1
39.422,2.077,-14.93,1
38.237,-2.461,-11.647,1
36.565,-7.334,-9.658,1
